EmbeddingSimilarity,nll-test,
1,-0.061357204324609074,1.2285463,
6,-0.03502611227002813,0.88600624,
9,-0.03654295582407695,0.79030794,
14,-0.03826894058336531,0.78773946,
18,-0.04001054492669888,0.7637302,
